month,s19_pro_count,s21_count,total_hash_rate_th_s,network_hash_rate_th_s,our_share_percent,btc_mined_this_month,btc_sold_this_month,btc_balance,capex_this_month_usd,total_capex_usd
2020-06,9505,0,1045550,109850000,0.9517979062357761,216.9504352526172,0,216.9504352526172,24998150,24998150
2020-07,10224,0,1045550,121560000,0.8601102336294834,228.3592670286278,171.26945027147087,274.0402520097741,1890970,26889120
2020-08,10930,0,1124640,123110000,0.9135244902932337,207.82682154171067,155.87011615628302,325.9969573952018,1856780,28745900
2020-09,11751,0,1202300,132270000.00000001,0.9089740681938457,241.5030477432524,181.1272858074393,386.3727193310149,2159230,30905130
2020-10,12599,0,1292610,135130000,0.9565677495744839,217.97787593428552,163.48340695071414,440.86718831458626,2230240,33135370
2020-11,13957,0,1385890,127150000,1.0899646087298467,248.51193079040502,186.38394809280376,502.9951710121875,3571540,36706910
2020-12,16100,0,1535270,134230000,1.1437607092304254,260.4915015272294,195.36862614542204,568.1180463939949,5636090,42343000
2021-01,19669,0,1771000,148540000,1.1922714420358151,316.99516965127236,237.74637723845427,647.3668388068129,9386470,51729470
2021-02,24775,0,2163590,154370000,1.4015611841679083,319.7602976109348,239.8202232082011,727.3069132095466,13428780,65158250
2021-03,31268,0,2725250,158150000,1.723205817262093,392.02932342712614,294.0219925703446,825.3142440663281,17076590,82234840
2021-04,40172,0,3439480,159350000,2.1584436774395983,491.3157420771886,368.48680655789144,948.1431795856253,23417520,105652360
2021-05,50321,0,4418920,161980000,2.7280651932337325,620.2938233115199,465.2203674836399,1103.2166354135052,26691870,132344230
2021-06,59315,0,5535310,127630000,4.336997571103972,822.9452891169788,617.2089668377341,1308.9529576927498,23654220,155998450
2021-07,77809,0,6524650,96540000,6.758493888543608,1536.290142039569,1152.2176065296767,1693.025493202642,48639220,204637670
2021-08,104866,0,8558990,118470000,7.224605385329619,1915.8750406220984,1436.9062804665737,2171.994253358167,71159910,275797580
2021-09,137138,0,11535260,135040000,8.542106042654028,2265.793627813981,1699.3452208604858,2738.442660311662,84875360,360672940
2021-10,178278,0,15085180,147260000,10.243908732853455,2327.9282595409477,1745.9461946557108,3320.424725196899,108198200,468871140
2021-11,238188,0,19610580,160540000,12.2153855736888,3240.1310234209545,2430.098267565716,4130.457481052137,157563300,626434440
2021-12,295069,0,26200680,170740000,15.345367225020498,3485.3165309827805,2613.9873982370855,5001.786613797833,149597030,776031470
2022-01,295069,0,28811690.102012683,185080000,15.56715479901269,4127.282390690716,0,9129.069004488549,0,776031470
2022-02,295069,0,32457590,197140000,16.464233539616515,3746.6421448589836,0,12875.711149347531,0,776031470
2022-03,295069,0,32457590,200690000,16.172998156360556,3676.324643417709,0,16552.03579276524,0,776031470
2022-04,295069,0,32457590,206390000,15.726338485391732,4171.944406124812,0,20723.98019889005,0,776031470
2022-05,295069,0,32457590,219100000,14.81405294386125,3373.9005579644,0,24097.88075685445,0,776031470
2022-06,295069,0,32457590,211750000,15.328259740259739,3486.2210746753244,0,27584.101831529777,0,776031470
2022-07,295069,0,32457590,204850000,15.844564315352697,3603.648096473029,0,31187.749928002806,0,776031470
2022-08,295069,0,32457590,207820000,15.618126263112309,4140.309047096525,0,35328.05897509933,0,776031470
2022-09,295069,0,32457590,225960000,14.364307842095947,3267.880034076828,0,38595.93900917616,0,776031470
2022-10,295069,0,32457590,255900000,12.683700664322,3364.3516012114105,0,41960.29061038757,0,776031470
2022-11,295069,0,32457590,261100000.00000003,12.431095365760243,2827.297252250095,0,44787.587862637665,0,776031470
2022-12,295069,0,32457590,247470000,13.115767567785994,2983.017386198327,0,47770.60524883599,0,776031470
2023-01,295069,0,32457590,269300000,12.052577051615298,3199.2059211381356,0,50969.81116997413,0,776031470
2023-02,295069,0,26722120.47212047,292510000,9.135455359516074,2081.7418900497255,0,53051.553060023856,0,776031470
2023-03,295069,0,32457590,327080000,9.923440748440749,2257.5827702702704,0,55309.13583029413,0,776031470
2023-04,295069,0,32457590,343110000,9.45982046573985,2510.9910948748216,0,57820.12692516895,0,776031470
2023-05,295069,0,32457590,353470000,9.182558632981582,2085.0147196013804,0,59905.14164477033,0,776031470
2023-06,295069,0,32457590,369930000,8.77398156407969,1995.5324319803744,0,61900.67407675071,0,776031470
2023-07,295069,0,32457590,375040000,8.654434193686008,2297.752278423635,0,64198.42635517434,0,776031470
2023-08,295069,0,32457590,385350000,8.42288568833528,1914.6929015380822,0,66113.11925671242,0,776031470
2023-09,295069,0,32457590,402390000,8.066201943388256,1833.0443916349811,0,67946.1636483474,0,776031470
2023-10,295069,17857,36028990,441070000,8.16854240823452,2170.790144988324,0,70116.95379333572,49999600,826031070
2023-11,295069,29604,36028990,472300000,7.6284120262545,1737.2915034943892,868.6457517471946,70985.59954508292,32891600,858922670
2023-12,295069,45509,38378390,500860000,7.66249850257557,2036.3089770594577,1018.1544885297288,72003.75403361265,44534000,903456670
2024-01,295069,60862,41559390,516690000.00000006,8.043389653370491,1830.3738579951225,915.1869289975613,72918.94096261021,42988400,946445070
2024-02,295069,76823,42858778.39641169,568680000,7.536536962160036,1723.5117965339732,861.7558982669866,73780.6968608772,44690800,991135870
2024-03,295069,104034,47822190,595370000,8.032347951693906,2131.58433768077,1065.792168840385,74846.48902971759,76190800,1067326670
2024-04,295069,124508,53264390,622970000,8.550073037224907,1644.9536816755224,822.4768408377612,75668.96587055534,57327200,1124653870
2024-05,295069,138064,57359190,601490000,9.536183477697053,1094.3142451812996,547.1571225906498,76216.122993146,37956800,1162610670
2024-06,295069,152961,60070390,578650000,10.381126760563381,1182.4757391267606,591.2378695633803,76807.36086270938,41711600,1204322270
2024-07,295069,169857,63049790,602870000,10.458272927828553,1393.2385695178064,696.6192847589032,77503.98014746828,47308800,1251631070
2024-08,295069,183631,66428990,628970000,10.5615514253462,1203.687342084996,601.843671042498,78105.82381851078,38567200,1290198270
2024-09,295069,198147,69183790,642960000,10.76020125668782,1233.7808163937104,616.8904081968552,78722.71422670763,40644800,1330843070
2024-10,295069,216148,72086990,687760000,10.481416482493893,1393.701371977434,696.850685988717,79419.56491269634,50402800,1381245870
2024-11,295069,232230,59575359.05150674,736530000,8.08865342233266,921.0954084681317,460.54770423406586,79880.1126169304,45029600,1426275470
2024-12,295069,256159,72327086.8018253,762050000,9.491120897818424,1262.3190794098505,631.1595397049252,80511.27215663533,67001200,1493276670
2025-01,295069,256159,83689390,782510000,10.694993035232777,1219.5639592985392,0,81730.83611593387,0,1493276670
2025-02,295069,256159,35422896.77650645,804220000,4.404627686019553,501.8522669758528,0,82232.68838290972,0,1493276670
2025-03,295069,256159,83689390,817400000,10.238486665035479,1164.9483227804012,0,83397.63670569012,0,1493276670
2025-04,295069,256159,83689390,866780000,9.655205473130437,1102.20253255232,0,84499.83923824244,0,1493276670
2025-05,295069,256159,83689390,881380000,9.495267648460368,1262.5743448945968,0,85762.41358313704,0,1493276670
2025-06,295069,256159,83689390,883220000,9.475486288806865,1078.7253659656708,0,86841.13894910271,0,1493276670
2025-07,295069,256159,83689390,903520000,9.262594076500797,1057.16579721445,0,87898.30474631715,0,1493276670
2025-08,295069,256159,83689390,939060000,8.91203863437906,1076.7783527177178,0,88975.08309903488,0,1493276670
2025-09,295069,256159,83689390,1016420000,8.233740973219732,1078.2232011768756,0,90053.30630021176,0,1493276670
2025-10,295069,256159,83689390,1079660000,7.751457866365337,817.2137236230849,0,90870.52002383485,0,1493276670
2025-11,295069,256159,78477252.7181971,1079880000,7.2672197575839075,767.7417976800732,0,91638.26182151493,0,1493276670